Process Date,Process ID,Artifact name,Library concentration (nM),Size (bp)
2020-06-11,24-93734,4572-20,10.6580048563,535
2020-06-11,24-93734,4154-20,10.1928298125,486
2020-06-11,24-93734,4749-20,9.73799975616,484
2020-06-11,24-93734,3184-20,10.0010942311,492
2020-06-11,24-93734,3179-20,11.6809842988,497
2020-06-11,24-93734,3178-20,9.52560113316,519
2020-06-11,24-93734,3102-20,8.01012038077,579
2020-06-11,24-93734,3101-20,9.10746979414,578
2020-06-11,24-93734,3100-20,10.7228468873,547
2020-06-11,24-93734,3093-20,8.74898530176,547
2020-06-11,24-93734,3092-20,9.86607211094,576
2020-06-11,24-93734,2588-20,8.99858154107,552
2020-06-16,24-93877,3095-20,15.2406584959,534
2020-06-16,24-93877,3096-20,14.3717581846,536
2020-06-16,24-93877,3097-20,14.1431973801,544
2020-06-16,24-93877,3098-20,19.3211079035,537
2020-06-16,24-93877,3252-20,16.548624397,536
2020-06-16,24-93877,3253-20,14.4468047886,530
2020-06-16,24-93877,3254-20,11.8951887927,551
2020-06-16,24-93877,3323-20,13.3092874915,534
2020-06-16,24-93877,3324-20,13.664650559,534
2020-06-16,24-93877,3326-20,15.3352150555,562
2020-06-16,24-93877,3377-20,12.8956345215,535
2020-06-16,24-93877,3380-20,14.4706644433,535
2020-06-16,24-93877,3382-20,13.3373020908,519
2020-06-16,24-93877,3328-20,9.59193353722,545
2020-06-16,24-93877,3327-20,12.9074803621,537
2020-06-16,24-93877,3418-20,16.7169146531,526
2020-06-16,24-93877,4071-20,12.8674213509,533
2020-06-16,24-93877,4072-20,13.8204732995,529
2020-06-16,24-93877,4073-20,13.7295161612,532
2020-06-16,24-93877,4798-20,12.2044861742,520
2020-06-16,24-93877,4802-20,14.7234017374,523
2020-06-16,24-93877,4816-20,10.9656896735,544
2020-06-16,24-93877,4953-20,10.5634001919,512
2020-06-16,24-93877,5061-20,14.4200796394,543
2020-06-22,24-95029,462-20,14.0769649788,553
2020-06-22,24-95029,2799-20,14.2963749424,534
2020-06-22,24-95029,2849-20,16.3086414439,504
2020-06-22,24-95029,3442-20,18.3002920532,495
2020-06-22,24-95029,3373-20,15.4035967974,491
2020-06-22,24-95029,3375-20,14.6277169106,499
2020-06-22,24-95029,3498-20,13.4797599104,491
2020-06-22,24-95029,3499-20,12.2576284903,508
2020-06-22,24-95029,3500-20,13.1540451526,542
2020-06-22,24-95029,3506-20,15.847800056,513
2020-06-22,24-95029,3517-20,16.0186620945,516
2020-06-22,24-95029,3518-20,18.1237944806,506
2020-06-22,24-95029,3522-20,13.3668461587,513
2020-06-22,24-95029,3503-20,16.7136386099,504
2020-06-22,24-95029,3523-20,15.6964923553,518
2020-06-22,24-95029,4967-20,16.9460554378,559
2020-06-22,24-95029,5095-20,12.3922170923,584
2020-06-22,24-95029,5108-20,11.6353211538,560
2020-06-22,24-95029,5109-20,13.1343184133,557
2020-06-22,24-95029,5114-20,18.8259332931,545
2020-06-22,24-95029,5157-20,15.1084025701,538
2020-06-22,24-95029,5223-20,14.8689721254,546
2020-06-22,24-95029,5230-20,14.9038917949,547
2020-06-22,24-95029,5297-20,13.1731602892,560
2020-06-30,24-95741,3498-20,10.7091287879,538
2020-06-30,24-95741,4632-19,10.672934453,542
2020-06-30,24-95741,4633-19,10.0243391055,557
2020-06-30,24-95741,4634-19,10.0722420981,558
2020-06-30,24-95741,3479-20,11.7186341322,536
2020-06-30,24-95741,3559-20,11.5724006612,550
2020-06-30,24-95741,3560-20,10.9416221598,551
2020-06-30,24-95741,1658-20,12.0288274143,555
2020-06-30,24-95741,2535-20,6.39541383853,549
2020-06-30,24-95741,3659-20,9.85568265747,540
2020-06-30,24-95741,3727-20,10.9796528468,555
2020-06-30,24-95741,3728-20,12.010313857,564
2020-06-30,24-95741,3729-20,12.5472932014,544
2020-06-30,24-95741,3584-20,11.0627572638,545
2020-06-30,24-95741,3940-20,11.2724697781,548
2020-06-30,24-95741,3941-20,9.68207536569,550
2020-06-30,24-95741,5305-20,8.18446096417,560
2020-06-30,24-95741,5356-20,9.84114094442,552
2020-06-30,24-95741,5394-20,10.7348430771,564
2020-06-30,24-95741,5440-20,7.01986719008,561
2020-06-30,24-95741,5523-20,14.9445132211,553
2020-06-30,24-95741,5315-20,9.65876581267,539
2020-06-30,24-95741,5316-20,11.4906597483,570
2020-06-30,24-95741,5317-20,10.7525987649,556
2020-07-02,24-96937,1582-20,4.25674370262,556
2020-07-02,24-96937,1583-20,5.20111342424,554
2020-07-02,24-96937,4439-20,6.58155887793,550
2020-07-02,24-96937,4441-20,5.67832739323,546
2020-07-02,24-96937,4539-20,5.36348290263,560
2020-07-02,24-96937,4547-20,6.41158139157,534
2020-07-02,24-96937,4549-20,6.81484915601,547
2020-07-02,24-96937,4550-20,4.898897776,559
2020-07-02,24-96937,4565-20,6.31154656501,546
2020-07-02,24-96937,4574-20,7.07027763323,571
2020-07-02,24-96937,4575-20,7.05348245754,535
2020-07-02,24-96937,4614-20,5.67146978639,548
2020-07-02,24-96937,4649-20,7.67692433509,553
2020-07-02,24-96937,4650-20,7.73832147838,524
2020-07-02,24-96937,111G-rerun-CTG,6.89039531074,551
2020-07-02,24-96937,5551-20,4.86139603926,549
2020-07-02,24-96937,5571-20,5.4663162013,553
2020-07-02,24-96937,5572-20,4.85319921448,549
2020-07-02,24-96937,5579-20,5.8697862232,553
2020-07-02,24-96937,5613-20,6.31225596131,558
2020-07-02,24-96937,5707-20,3.7195982861,555
2020-07-02,24-96937,5748-20,5.4185160679,539
2020-07-02,24-96937,5825-20,4.86250685608,516
2020-07-07,24-97102,4181-20,10.450699348,560
2020-07-07,24-97102,4182-20,11.2330605904,559
2020-07-07,24-97102,4183-20,15.3922121842,553
2020-07-07,24-97102,4241-20,13.2475422028,558
2020-07-07,24-97102,4242-20,11.9418004495,557
2020-07-07,24-97102,4243-20,11.8795172359,571
2020-07-07,24-97102,4257-20,10.5982680792,546
2020-07-07,24-97102,4258-20,12.0215317268,567
2020-07-07,24-97102,4259-20,8.24366630159,553
2020-07-07,24-97102,1797-20,10.5519917533,584
2020-07-07,24-97102,1798-20,10.0241209971,559
2020-07-07,24-97102,1799-20,12.8171725257,556
2020-07-07,24-97102,4309-20,12.2108766146,545
2020-07-07,24-97102,4310-20,10.560013127,567
2020-07-07,24-97102,4311-20,11.6488894393,557
2020-07-07,24-97102,4341-20,10.7167194209,572
2020-07-07,24-97102,4342-20,11.1653832165,550
2020-07-07,24-97102,4343-20,12.7226293301,539
2020-07-07,24-97102,1185-16,11.7511434252,561
2020-07-07,24-97102,1186-16,15.127223208,551
2020-07-07,24-97102,1187-16,12.9971182903,554
2020-07-07,24-97102,4375-20,11.153047282,544
2020-07-07,24-97102,4415-20,12.6689078159,543
2020-07-07,24-97102,4416-20,12.2113888311,561
2020-07-10,24-97634,2748-20-GMS-AL,8.16990184054,534
2020-07-10,24-97634,2700-20-GMS-AL,11.1500570229,538
2020-07-10,24-97634,10056-19-GMS-AL,7.94163879157,526
2020-07-10,24-97634,1108-20-GMS-AL,10.0367350819,544
2020-07-10,24-97634,1109-20-GMS-AL,9.40627125534,535
2020-07-10,24-97634,92-20-GMS-AL,9.70500802323,559
2020-07-10,24-97634,26-20-GMS-AL,9.51195245136,541
2020-07-10,24-97634,2702-20-GMS-AL,6.66916043258,514
2020-07-10,24-97634,10058-19-GMS-AL,7.02761442406,525
2020-07-10,24-97634,8946-19-GMS-AL,10.1034263452,542
2020-07-10,24-97634,8947-19-GMS-AL,6.00024185585,527
2020-07-10,24-97634,90-20-GMS-AL,12.5024803229,534
2020-07-10,24-97754,4440-20,11.374604047,528
2020-07-10,24-97754,4467-20,9.9808770479,535
2020-07-10,24-97754,4560-20,11.0218943219,557
2020-07-10,24-97754,4615-20,8.94993227795,546
2020-07-10,24-97754,4617-20,11.0279105945,554
2020-07-10,24-97754,4619-20,10.4255184165,554
2020-07-10,24-97754,4624-20,10.1424011464,532
2020-07-10,24-97754,4652-20,8.28695458156,561
2020-07-10,24-97754,4654-20,11.8620879341,530
2020-07-10,24-97754,4655-20,10.0857770929,537
2020-07-10,24-97754,4665-20,9.62000998522,555
2020-07-10,24-97754,4666-20,9.31072394881,538
2020-07-10,24-97754,4718-20,9.50409350914,545
2020-07-10,24-97754,4720-20,10.2837608726,538
2020-07-10,24-97754,5315-20,11.699178789,549
2020-07-10,24-97754,5790-20,10.0494047182,555
2020-07-10,24-97754,5844-20,10.9724569809,531
2020-07-10,24-97754,5875-20,11.0847511417,558
2020-07-10,24-97754,5905-20,9.49245376817,556
2020-07-10,24-97754,5913-20,10.7515907828,540
2020-07-10,24-97754,5916-20,8.22845659273,547
2020-07-10,24-97754,5922-20,9.64087961748,562
2020-07-10,24-97754,5999-20,9.38263140268,550
2020-07-10,24-97754,6043-20,4.37269361995,551
2020-07-13,24-97972,6916-19-GMS-AL,10.9335285068,538
2020-07-13,24-97972,4195-20-GMS-AL,10.862871408,544
2020-07-13,24-97972,4197-20-GMS-AL,9.22233484458,547
2020-07-13,24-97972,5375-19-GMS-AL,8.18450336046,540
2020-07-13,24-97972,9882-19-GMS-AL,10.7507612695,550
2020-07-13,24-97972,3904-19-GMS-AL,8.53283663376,541
2020-07-13,24-97972,3909-19-GMS-AL,9.41246098854,532
2020-07-13,24-97972,3985-19-GMS-AL,10.7153216056,541
2020-07-13,24-97972,3986-19-GMS-AL,9.99074763826,552
2020-07-13,24-97972,6883-19-GMS-AL,11.5902255386,545
2020-07-13,24-97972,5377-19-GMS-AL,5.58289446743,513
2020-07-13,24-97972,9884-19-GMS-AL,8.94039024244,537
2020-07-16,24-98410,4726-20,9.76337844289,505
2020-07-16,24-98410,4727-20,9.01962483337,527
2020-07-16,24-98410,4728-20,10.2192619585,564
2020-07-16,24-98410,4770-20,9.82746137562,580
2020-07-16,24-98410,4771-20,8.91192413845,575
2020-07-16,24-98410,4772-20,10.609517755,573
2020-07-16,24-98410,4845-20,8.19474176105,569
2020-07-16,24-98410,4846-20,11.0126864265,586
2020-07-16,24-98410,4868-20,8.5704788209,522
2020-07-16,24-98410,5038-20,10.1622385551,575
2020-07-16,24-98410,5041-20,7.56035722182,547
2020-07-16,24-98410,5043-20,9.3861769238,602
2020-07-16,24-98410,5063-20,7.27683599545,672
2020-07-16,24-98410,5064-20,10.1947175532,639
2020-07-16,24-98410,5099-20,10.20980704,579
2020-07-16,24-98410,1214-20,9.07559589583,570
2020-07-16,24-98410,2249-20,9.22212652446,545
2020-07-16,24-98410,5172-20,9.71149956434,559
2020-07-16,24-98410,5173-20,10.3846917362,557
2020-07-16,24-98410,5213-20,8.16443606057,557
2020-07-16,24-98410,5214-20,10.6916222901,525
2020-07-16,24-98410,6070-20,9.73219291145,567
2020-07-16,24-98410,6181-20,10.5712816752,556
2020-07-16,24-98410,6192-20,8.25070550702,513
2020-07-20,24-98434,6857-19-GMS-AL,11.8787381116,548
2020-07-20,24-98434,5124-19-GMS-AL,10.4187626294,560
2020-07-20,24-98434,5127-19-GMS-AL,13.2719504388,551
2020-07-20,24-98434,9030-19-GMS-AL,9.94579553634,556
2020-07-20,24-98434,3491-20-GMS-AL,10.7042883745,562
2020-07-20,24-98434,4306-20-GMS-AL,11.8605390268,562
2020-07-20,24-98434,4308-20-GMS-AL,10.8152706587,532
2020-07-20,24-98434,6858-19-GMS-AL,6.19290880362,536
2020-07-20,24-98434,9033-19-GMS-AL,8.25553064084,553
2020-07-20,24-98434,3492-20-GMS-AL,6.24722722609,542
2020-07-20,24-98434,7506-19-GMS-AL,21.2846767214,532
2020-07-20,24-98434,7507-19-GMS-AL,7.11165140005,541
2020-08-24,24-98658,7023-19-GMS-AL,9.47316990222,526
2020-08-24,24-98658,7025-19-GMS-AL,11.2857919629,542
2020-08-24,24-98658,5572-19-GMS-AL,9.9391243376,554
2020-08-24,24-98658,11903-19-GMS-AL,11.6086011767,561
2020-08-24,24-98658,11905-19-GMS-AL,12.5078335367,545
2020-08-24,24-98658,5165-19-GMS-AL,9.36709695796,547
2020-08-24,24-98658,5166-19-GMS-AL,10.8796546002,529
2020-08-24,24-98658,11143-19-GMS-AL,13.4077094615,553
2020-08-24,24-98658,11145-19-GMS-AL,7.8661441788,541
2020-08-24,24-98658,5570-19-GMS-AL,10.752482801,538
2020-07-30,24-99683,184-20,7.09377122609,497
2020-07-30,24-99683,185-20,8.24008114082,520
2020-07-30,24-99683,4945-20,8.15431558423,517
2020-07-30,24-99683,5110-20,8.31685218139,505
2020-07-30,24-99683,5112-20,8.24851401168,499
2020-07-30,24-99683,5113-20,8.26263563848,500
2020-07-30,24-99683,5124-20,10.5068387942,488
2020-07-30,24-99683,5175-20,10.3051197973,490
2020-07-30,24-99683,5224-20,7.93992992818,520
